LFQ intensity 1	LFQ intensity 2	LFQ intensity 3	LFQ intensity 4	LFQ intensity 5	LFQ intensity 6	LFQ intensity 7	LFQ intensity 8	LFQ intensity 9	LFQ intensity 10	LFQ intensity 11	LFQ intensity 12	LFQ intensity 13	LFQ intensity 14	LFQ intensity 15	LFQ intensity 16	LFQ intensity 17	LFQ intensity 18	LFQ intensity 19	LFQ intensity 20	LFQ intensity 21	LFQ intensity 22	LFQ intensity 23	LFQ intensity 24	Only identified by site	Reverse	Potential contaminant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	Fasta headers
4089900	2905200	2769300	7283800	5343100	2729900	2022400	0	4284400	3893100	1806900	0	0	0	2093100	2332500	4390700	3751000	4136300	6084200	0	0	3561900	4991500				2	1	1	12.8	7.1	7.1	17.523	0.0035403	2.2226	118660000	6	O60675;O15525	O60675;O15525	Transcription factor MafK;Transcription factor MafG	MAFK;MAFG	sp|O60675|MAFK_HUMAN Transcription factor MafK OS=Homo sapiens GN=MAFK PE=1 SV=1;sp|O15525|MAFG_HUMAN Transcription factor MafG OS=Homo sapiens GN=MAFG PE=1 SV=1
4050400	4136000	4414500	0	0	6044200	3052900	0	0	8720800	2552500	6298400	5394800	0	0	0	0	3124900	5443300	5310900	0	0	0	4758600				5	5	5	14.2	14.2	14.2	63.151	0	230.71	110890000	3	O15530;Q6A1A2	O15530;Q6A1A2	3-phosphoinositide-dependent protein kinase 1;Putative 3-phosphoinositide-dependent protein kinase 2	PDPK1;PDPK2P	sp|O15530|PDPK1_HUMAN 3-phosphoinositide-dependent protein kinase 1 OS=Homo sapiens GN=PDPK1 PE=1 SV=1;sp|Q6A1A2|PDPK2_HUMAN Putative 3-phosphoinositide-dependent protein kinase 2 OS=Homo sapiens GN=PDPK2P PE=5 SV=1
6.4699E+07	5.5388E+07	6.0785E+07	6.5803E+07	5.9214E+07	1.249E+08	1.2482E+08	1.3017E+08	1.1108E+08	1.2238E+08	1.1053E+08	1.1484E+08	1.216E+08	1.0762E+08	1.0418E+08	1.6429E+08	1.467E+08	1.4931E+08	1.663E+08	2.3159E+08	1.1567E+08	1.4651E+08	1.3483E+08	1.5797E+08				10	10	10	26.3	26.3	26.3	47.625	0	14.103	5108500000	102	O15533	O15533	Tapasin	TAPBP	sp|O15533|TPSN_HUMAN Tapasin OS=Homo sapiens GN=TAPBP PE=1 SV=1
0	4037400	2580600	2948000	3849300	0	0	0	1663000	0	4280800	1819700	2344200	0	4073200	3703500	4320400	2963600	0	0	2877900	0	0	0				6	6	6	23.6	23.6	23.6	38.787	0	37.074	64380000	1	O15541;Q8IZP6	O15541	RING finger protein 113A	RNF113A	sp|O15541|R113A_HUMAN RING finger protein 113A OS=Homo sapiens GN=RNF113A PE=1 SV=1
2.2478E+09	2.2645E+09	2.0663E+09	2.3226E+09	2.3817E+09	1.3946E+09	1.1931E+09	1.4504E+09	1.6045E+09	1.4621E+09	1.3543E+09	1.3832E+09	1.431E+09	1.3562E+09	1.3261E+09	1.2138E+09	1.2363E+09	1.3337E+09	1.2954E+09	1.2214E+09	1.3927E+09	1.2569E+09	1.3306E+09	1.2496E+09				55	55	54	54.6	54.6	53.5	90.932	0	314.46	66622000000	935	O43143	O43143	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	DHX15	sp|O43143|DHX15_HUMAN Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens GN=DHX15 PE=1 SV=2
1.0897E+08	9.1889E+07	9.5479E+07	1.0487E+08	8.8279E+07	7.027E+07	7.2858E+07	7.688E+07	6.0843E+07	6.541E+07	7.4987E+07	7.1738E+07	7.5467E+07	7.2212E+07	6.9228E+07	7.0676E+07	6.206E+07	5.8525E+07	6.2266E+07	6.759E+07	5.3987E+07	5.4614E+07	6.4172E+07	6.4029E+07				14	14	14	33.4	33.4	33.4	54.843	0	40.6	3167000000	84	O43148	O43148	mRNA cap guanine-N7 methyltransferase	RNMT	sp|O43148|MCES_HUMAN mRNA cap guanine-N7 methyltransferase OS=Homo sapiens GN=RNMT PE=1 SV=1
4.1435E+07	6.1709E+07	5.5722E+07	8.502E+07	4.7387E+07	3.1104E+07	0	5.6667E+07	4.1742E+07	4.5563E+07	2.769E+07	4.6134E+07	5.1657E+07	2.5255E+07	1.058E+07	1.1286E+07	1.9107E+07	2.4906E+07	3.1567E+07	6.4951E+07	3.595E+07	5.5105E+07	1.8946E+07	3.3448E+07				8	8	8	2.6	2.6	2.6	331.07	0	10.842	1560000000	19	O43149	O43149	Zinc finger ZZ-type and EF-hand domain-containing protein 1	ZZEF1	sp|O43149|ZZEF1_HUMAN Zinc finger ZZ-type and EF-hand domain-containing protein 1 OS=Homo sapiens GN=ZZEF1 PE=1 SV=6
3.1007E+07	3.2587E+07	4.633E+07	2.8179E+07	2.6679E+07	3.6301E+07	4.1985E+07	3.8594E+07	2.2864E+07	3.5478E+07	3.574E+07	3.9385E+07	3.6053E+07	3.7262E+07	3.1512E+07	3.395E+07	5.2654E+07	4.9127E+07	4.8212E+07	5.4891E+07	5.1563E+07	3.1931E+07	4.435E+07	3.5121E+07				11	9	9	18.7	17.6	17.6	111.65	0	130.01	1642200000	61	O43150	O43150	Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2	ASAP2	sp|O43150|ASAP2_HUMAN Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 OS=Homo sapiens GN=ASAP2 PE=1 SV=3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	0.7	0.7	0.7	232.3	0	7.6731	0	0	O43157	O43157	Plexin-B1	PLXNB1	sp|O43157|PLXB1_HUMAN Plexin-B1 OS=Homo sapiens GN=PLXNB1 PE=1 SV=3
6.6161E+07	7.0528E+07	5.5082E+07	7.1965E+07	6.7059E+07	5.7035E+07	5.3201E+07	5.9116E+07	5.9096E+07	5.318E+07	3.9856E+07	5.6433E+07	6.8014E+07	5.2341E+07	4.9013E+07	5.9782E+07	7.7982E+07	6.489E+07	5.9048E+07	7.3388E+07	5.6955E+07	6.0993E+07	6.2552E+07	5.7172E+07				15	15	15	45.4	45.4	45.4	50.714	0	46.626	2524100000	61	O43159	O43159	Ribosomal RNA-processing protein 8	RRP8	sp|O43159|RRP8_HUMAN Ribosomal RNA-processing protein 8 OS=Homo sapiens GN=RRP8 PE=1 SV=2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				4	4	4	8.5	8.5	8.5	78.213	0	32.761	0	2	O43164	O43164	E3 ubiquitin-protein ligase Praja-2	PJA2	sp|O43164|PJA2_HUMAN E3 ubiquitin-protein ligase Praja-2 OS=Homo sapiens GN=PJA2 PE=1 SV=4
4262700	0	1930600	0	4535800	0	0	8195400	6924500	0	2067200	4552900	0	0	3408800	0	0	5814200	7548400	0	4704000	3943100	0	8084100				11	11	11	7.9	7.9	7.9	200.03	0	151.81	122620000	2	O43166	O43166	Signal-induced proliferation-associated 1-like protein 1	SIPA1L1	sp|O43166|SI1L1_HUMAN Signal-induced proliferation-associated 1-like protein 1 OS=Homo sapiens GN=SIPA1L1 PE=1 SV=4
3.0321E+08	2.4857E+08	3.6147E+08	1.8373E+08	2.4443E+08	1.9826E+08	1.6566E+08	1.9595E+08	6.9803E+07	1.4215E+08	1.8009E+08	1.2277E+08	1.7501E+08	1.6998E+08	1.8559E+08	2.1559E+08	2.2871E+08	1.4268E+08	2.1603E+08	1.7617E+08	1.5252E+08	1.3452E+08	1.5546E+08	1.2983E+08				7	7	7	55.5	55.5	55.5	16.332	0	122.29	8074800000	104	O43169	O43169	Cytochrome b5 type B	CYB5B	sp|O43169|CYB5B_HUMAN Cytochrome b5 type B OS=Homo sapiens GN=CYB5B PE=1 SV=2
4.5002E+08	4.3232E+08	4.2603E+08	5.2485E+08	4.3876E+08	3.2506E+08	3.2977E+08	3.9401E+08	3.2875E+08	3.2572E+08	3.3082E+08	3.3053E+08	3.6801E+08	3.2472E+08	3.244E+08	3.3964E+08	3.4124E+08	3.3583E+08	3.0903E+08	3.621E+08	2.8558E+08	3.0572E+08	3.3188E+08	2.7658E+08				27	27	27	58.2	58.2	58.2	58.449	0	118.71	15064000000	313	O43172	O43172	U4/U6 small nuclear ribonucleoprotein Prp4	PRPF4	sp|O43172|PRP4_HUMAN U4/U6 small nuclear ribonucleoprotein Prp4 OS=Homo sapiens GN=PRPF4 PE=1 SV=2
6.0367E+08	8.178E+08	8.9455E+08	8.3269E+08	7.1277E+08	1.2907E+07	5896100	1.5195E+07	308090	2973600	2.082E+07	1145000	1.1502E+07	2.0546E+07	8742800	1.1069E+07	2579400	1.5168E+07	2645500	1914800	1.3281E+07	1168500	1.8524E+07	9440900				22	22	22	41.8	41.8	41.8	56.65	0	85.19	6809100000	86	O43175	O43175	D-3-phosphoglycerate dehydrogenase	PHGDH	sp|O43175|SERA_HUMAN D-3-phosphoglycerate dehydrogenase OS=Homo sapiens GN=PHGDH PE=1 SV=4
8.7053E+07	7.6459E+07	6.7543E+07	8.4307E+07	6.761E+07	6.8657E+07	6.7922E+07	8.087E+07	6.2645E+07	8.1442E+07	7.2129E+07	7.7073E+07	9.0662E+07	8.9083E+07	5.7506E+07	6.5051E+07	5.191E+07	6.6329E+07	6.9641E+07	3.4733E+07	8.2973E+07	8.1275E+07	8.1576E+07	8.5967E+07				8	8	8	36	36	36	20.108	0	21.126	3167800000	97	O43181	O43181	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	NDUFS4	sp|O43181|NDUS4_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial OS=Homo sapiens GN=NDUFS4 PE=1 SV=1
1.5974E+07	1.5917E+07	1.9627E+07	1.1802E+07	2.0368E+07	1.2451E+07	1.6706E+07	1.3321E+07	1.8609E+07	1.21E+07	2.1531E+07	1.5171E+07	1.7421E+07	1.2344E+07	1.6483E+07	1.4911E+07	1.622E+07	1.043E+07	6079700	9729900	1.2487E+07	1.2507E+07	2.5847E+07	1.455E+07				4	4	4	7.2	7.2	7.2	105.95	0	9.1304	611940000	1	O43182	O43182	Rho GTPase-activating protein 6	ARHGAP6	sp|O43182|RHG06_HUMAN Rho GTPase-activating protein 6 OS=Homo sapiens GN=ARHGAP6 PE=1 SV=3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	3.7	3.7	3.7	62.105	0.00015997	3.9372	0	0	O43189	O43189	PHD finger protein 1	PHF1	sp|O43189|PHF1_HUMAN PHD finger protein 1 OS=Homo sapiens GN=PHF1 PE=1 SV=3
1.0946E+07	1.2215E+07	0	1.4829E+07	0	2.1114E+07	0	1.7579E+07	1.4361E+07	2.0722E+07	1.5369E+07	2.1385E+07	1.4333E+07	1.5657E+07	1.5898E+07	2.1301E+07	2.2848E+07	1.2174E+07	2.6791E+07	4.0421E+07	1.7481E+07	2.5104E+07	1.4727E+07	3.2246E+07				4	4	4	11.9	11.9	11.9	51.328	0	21.177	707960000	4	O43194	O43194	G-protein coupled receptor 39	GPR39	sp|O43194|GPR39_HUMAN G-protein coupled receptor 39 OS=Homo sapiens GN=GPR39 PE=1 SV=1
2.3447E+08	2.3977E+08	2.2624E+08	2.0635E+08	1.9251E+08	2.2649E+08	2.0897E+08	2.0337E+08	1.9278E+08	1.8634E+08	2.1466E+08	2.3208E+08	2.1198E+08	2.4821E+08	2.6173E+08	2.0728E+08	2.4023E+08	2.2219E+08	2.4428E+08	2.635E+08	2.5548E+08	2.477E+08	2.255E+08	2.3672E+08				25	25	25	57.5	57.5	57.5	54.099	0	278.05	9777800000	150	O43237	O43237	Cytoplasmic dynein 1 light intermediate chain 2	DYNC1LI2	sp|O43237|DC1L2_HUMAN Cytoplasmic dynein 1 light intermediate chain 2 OS=Homo sapiens GN=DYNC1LI2 PE=1 SV=1
5.4002E+08	5.4326E+08	4.8216E+08	4.3143E+08	4.8527E+08	6.3355E+08	5.3438E+08	5.2129E+08	5.236E+08	5.1891E+08	5.8448E+08	5.7392E+08	5.5386E+08	6.0228E+08	6.6986E+08	4.875E+08	5.0043E+08	4.5628E+08	5.1689E+08	5.4769E+08	4.5236E+08	5.2886E+08	5.1546E+08	4.6256E+08				41	41	41	62.7	62.7	62.7	60.977	0	207.86	22061000000	455	O43242	O43242	26S proteasome non-ATPase regulatory subunit 3	PSMD3	sp|O43242|PSMD3_HUMAN 26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens GN=PSMD3 PE=1 SV=2
6.2277E+07	5.1428E+07	5.2329E+07	5.9157E+07	6.3975E+07	4.5509E+07	4.5667E+07	5.7901E+07	5.3595E+07	4.8551E+07	4.7172E+07	5.4895E+07	5.1665E+07	6.009E+07	6.3294E+07	6.4846E+07	5.5449E+07	5.7089E+07	5.0546E+07	7.6546E+07	5.6932E+07	4.9904E+07	5.2995E+07	5.6183E+07				5	5	5	18.2	18.2	18.2	41.373	0	28.464	2315200000	43	O43251;Q9NWB1;A6NFN3	O43251;Q9NWB1;A6NFN3	RNA binding protein fox-1 homolog 2;RNA binding protein fox-1 homolog 1;RNA binding protein fox-1 homolog 3	RBFOX2;RBFOX1;RBFOX3	sp|O43251|RFOX2_HUMAN RNA binding protein fox-1 homolog 2 OS=Homo sapiens GN=RBFOX2 PE=1 SV=3;sp|Q9NWB1|RFOX1_HUMAN RNA binding protein fox-1 homolog 1 OS=Homo sapiens GN=RBFOX1 PE=1 SV=2;sp|A6NFN3|RFOX3_HUMAN RNA binding protein fox-1 homolog 3 OS=Homo sa
2.8438E+08	3.3001E+08	2.9091E+08	3.0671E+08	2.9319E+08	2.2634E+08	1.91E+08	2.1057E+08	2.4399E+08	2.0206E+08	1.7527E+08	1.6817E+08	1.688E+08	1.7569E+08	1.6015E+08	2.0554E+08	2.2095E+08	2.224E+08	2.1785E+08	2.5081E+08	2.605E+08	2.5301E+08	2.7166E+08	2.6929E+08				27	23	23	49.8	45.4	45.4	70.832	0	144.97	9442700000	236	O43252	O43252	Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1;Sulfate adenylyltransferase;Adenylyl-sulfate kinase	PAPSS1	sp|O43252|PAPS1_HUMAN Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1 OS=Homo sapiens GN=PAPSS1 PE=1 SV=2
9.2624E+07	9.4916E+07	7.7101E+07	8.0501E+07	8.8726E+07	9.1807E+07	7.2273E+07	6.9013E+07	6.9494E+07	6.9039E+07	7.5452E+07	7.6251E+07	5.8007E+07	6.7252E+07	5.718E+07	5.5143E+07	8.7733E+07	6.3589E+07	8.6114E+07	9.0642E+07	6.9332E+07	6.953E+07	5.92E+07	6.9483E+07				17	17	17	32.2	32.2	32.2	88.828	0	98.482	3222300000	124	O43264	O43264	Centromere/kinetochore protein zw10 homolog	ZW10	sp|O43264|ZW10_HUMAN Centromere/kinetochore protein zw10 homolog OS=Homo sapiens GN=ZW10 PE=1 SV=3
6528600	4927800	5033700	0	4367000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	3.8	3.8	3.8	68.001	0.0023938	2.4486	36942000	1	O43272	O43272	Proline dehydrogenase 1, mitochondrial	PRODH	sp|O43272|PROD_HUMAN Proline dehydrogenase 1, mitochondrial OS=Homo sapiens GN=PRODH PE=1 SV=3
3.2009E+07	3.9111E+07	4.1765E+07	5.0483E+07	5.2034E+07	7988200	9173700	0	1626400	0	0	3791700	0	1.1105E+07	5832400	0	0	0	0	0	2.0085E+07	0	0	0				8	8	8	17.2	17.2	17.2	58.397	0	8.7266	508620000	15	O43278	O43278	Kunitz-type protease inhibitor 1	SPINT1	sp|O43278|SPIT1_HUMAN Kunitz-type protease inhibitor 1 OS=Homo sapiens GN=SPINT1 PE=1 SV=2
1.4194E+07	1.435E+07	1.1108E+07	3814400	6860500	3.9007E+07	4.2648E+07	4.5153E+07	2.5776E+07	2.384E+07	2.8304E+07	3.867E+07	3.0841E+07	3.7414E+07	5.2418E+07	2.4984E+07	1.8382E+07	2.4339E+07	2.9677E+07	2.2239E+07	2.7188E+07	3.603E+07	2.4744E+07	3.1314E+07				3	3	3	9.3	9.3	9.3	45.118	0.00031456	3.5036	1162400000	39	O43286	O43286	Beta-1,4-galactosyltransferase 5	B4GALT5	sp|O43286|B4GT5_HUMAN Beta-1,4-galactosyltransferase 5 OS=Homo sapiens GN=B4GALT5 PE=2 SV=1
3.6869E+08	3.4994E+08	3.2385E+08	3.6902E+08	3.9638E+08	3.5676E+08	2.8455E+08	3.5813E+08	3.2357E+08	2.9345E+08	3.0187E+08	3.4063E+08	3.1549E+08	3.2674E+08	3.2E+08	3.1065E+08	3.1417E+08	2.8235E+08	2.675E+08	2.8512E+08	2.5599E+08	2.9767E+08	2.6873E+08	2.6659E+08				29	29	29	39.2	39.2	39.2	90.254	0	101.5	12426000000	213	O43290	O43290	U4/U6.U5 tri-snRNP-associated protein 1	SART1	sp|O43290|SNUT1_HUMAN U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens GN=SART1 PE=1 SV=1
3.4196E+07	2.9736E+07	3.4677E+07	2.2585E+07	3.1488E+07	0	0	2167800	4127900	3054200	3449000	3221700	3183600	3228900	4723200	2.6653E+07	2.0487E+07	2.1759E+07	2.2289E+07	1.4342E+07	1.1194E+07	1.4775E+07	1.5532E+07	1.405E+07				5	5	3	28.6	28.6	19.8	28.228	0	15.339	587030000	21	O43291	O43291	Kunitz-type protease inhibitor 2	SPINT2	sp|O43291|SPIT2_HUMAN Kunitz-type protease inhibitor 2 OS=Homo sapiens GN=SPINT2 PE=1 SV=2
3.8395E+07	3.7448E+07	2.2768E+07	4.3738E+07	3.744E+07	5.1138E+07	4.8575E+07	3.6145E+07	2.6893E+07	4.6323E+07	4.1973E+07	3.88E+07	3.7692E+07	4.044E+07	3.313E+07	1.849E+07	3.1329E+07	3.8397E+07	4.2565E+07	3.0849E+07	2.9305E+07	3.6586E+07	3.5401E+07	4.1046E+07				5	5	5	8.4	8.4	8.4	67.622	0	23.509	1593500000	44	O43292	O43292	Glycosylphosphatidylinositol anchor attachment 1 protein	GPAA1	sp|O43292|GPAA1_HUMAN Glycosylphosphatidylinositol anchor attachment 1 protein OS=Homo sapiens GN=GPAA1 PE=1 SV=3
7.0643E+07	6.2113E+07	3.5567E+07	6.8543E+07	6.9138E+07	6.9884E+07	5.7924E+07	6.5979E+07	4.8835E+07	5.0601E+07	5.7506E+07	5.8506E+07	6.5648E+07	7.325E+07	6.7946E+07	4.7321E+07	6.6563E+07	6.5735E+07	6.277E+07	4.2905E+07	6.6429E+07	9.3918E+07	6.6106E+07	8.8193E+07				14	14	14	36.6	36.6	36.6	52.535	0	57.642	2711600000	61	O43293;Q9UIK4	O43293	Death-associated protein kinase 3	DAPK3	sp|O43293|DAPK3_HUMAN Death-associated protein kinase 3 OS=Homo sapiens GN=DAPK3 PE=1 SV=1
1.9318E+08	2.2421E+08	1.5137E+08	2.2473E+08	2.0929E+08	4607800	6084400	1771300	1.2086E+07	2342500	2.3958E+07	3.8356E+07	4.2152E+07	3.2165E+07	2.9918E+07	9.4754E+07	8.0427E+07	1.2303E+08	1.2023E+08	8.967E+07	8.4152E+07	8.1878E+07	9.7652E+07	8.4616E+07				14	14	14	44.7	44.7	44.7	49.814	0	83.01	3553500000	82	O43294	O43294	Transforming growth factor beta-1-induced transcript 1 protein	TGFB1I1	sp|O43294|TGFI1_HUMAN Transforming growth factor beta-1-induced transcript 1 protein OS=Homo sapiens GN=TGFB1I1 PE=1 SV=2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	1	1	2.1	2.1	2.1	70.586	0	14.641	0	0	O43296	O43296	Zinc finger protein 264	ZNF264	sp|O43296|ZN264_HUMAN Zinc finger protein 264 OS=Homo sapiens GN=ZNF264 PE=1 SV=1
3366900	5271300	0	0	2825900	0	0	0	0	0	0	0	3061700	0	0	0	0	0	0	0	0	0	0	0				2	2	2	3.7	3.7	3.7	88.604	0.0015097	2.616	24851000	2	O43299	O43299	AP-5 complex subunit zeta-1	AP5Z1	sp|O43299|AP5Z1_HUMAN AP-5 complex subunit zeta-1 OS=Homo sapiens GN=AP5Z1 PE=1 SV=2
1.347E+08	1.3084E+08	1.3915E+08	1.0107E+08	1.4037E+08	1.1166E+08	9.6454E+07	8.6851E+07	8.44E+07	9.9902E+07	1.4741E+08	1.1747E+08	1.2844E+08	1.4692E+08	1.5236E+08	1.1876E+08	1.1602E+08	1.1834E+08	1.014E+08	1.1283E+08	1.133E+08	1.252E+08	1.0693E+08	1.0213E+08				22	22	22	35	35	35	74.977	0	186.34	4961600000	154	O43301	O43301	Heat shock 70 kDa protein 12A	HSPA12A	sp|O43301|HS12A_HUMAN Heat shock 70 kDa protein 12A OS=Homo sapiens GN=HSPA12A PE=1 SV=2
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				5	5	5	6.1	6.1	6.1	113.42	0	28.74	0	2	O43303	O43303	Centriolar coiled-coil protein of 110 kDa	CCP110	sp|O43303|CP110_HUMAN Centriolar coiled-coil protein of 110 kDa OS=Homo sapiens GN=CCP110 PE=1 SV=3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				6	6	6	5.2	5.2	5.2	130.61	0	15.307	0	0	O43306	O43306	Adenylate cyclase type 6	ADCY6	sp|O43306|ADCY6_HUMAN Adenylate cyclase type 6 OS=Homo sapiens GN=ADCY6 PE=1 SV=2
2799200	0	0	0	0	4938600	6168900	0	9546300	5079000	6982800	4548900	7807400	7348600	6087800	1.0589E+07	9507300	7684700	9926400	6156000	9550400	8726800	7454800	7931100				11	10	10	19.1	17.9	17.9	82.25	0	37.359	237820000	9	O43312	O43312	Metastasis suppressor protein 1	MTSS1	sp|O43312|MTSS1_HUMAN Metastasis suppressor protein 1 OS=Homo sapiens GN=MTSS1 PE=1 SV=2
6.6885E+07	5.8697E+07	5.2725E+07	4.9102E+07	6.0633E+07	9.3716E+07	6.5356E+07	7.595E+07	6.187E+07	8.2023E+07	7.1529E+07	7.7822E+07	7.6241E+07	8.1556E+07	8.0067E+07	8.9872E+07	9.381E+07	8.9337E+07	8.6831E+07	9.575E+07	8.2571E+07	1.1148E+08	8.69E+07	8.4833E+07				26	26	23	26.2	26.2	23	140.41	0	97.459	3182800000	49	O43314	O43314	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	PPIP5K2	sp|O43314|VIP2_HUMAN Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2 OS=Homo sapiens GN=PPIP5K2 PE=1 SV=3
9125700	1.2461E+07	8908600	1.1131E+07	9318000	1.1671E+07	1.0923E+07	8895100	1.012E+07	1.2653E+07	9650400	1.1415E+07	9441000	9651200	7582900	1.1458E+07	1.4217E+07	1.231E+07	5957200	1.4542E+07	1.2302E+07	1.0706E+07	8022200	1.1739E+07				13	13	13	21.6	21.6	21.6	67.195	0	236.29	429400000	27	O43318;REV__Q8IU57	O43318	Mitogen-activated protein kinase kinase kinase 7	MAP3K7	sp|O43318|M3K7_HUMAN Mitogen-activated protein kinase kinase kinase 7 OS=Homo sapiens GN=MAP3K7 PE=1 SV=1
2.5989E+08	1.7291E+08	2.2422E+08	1.9079E+08	2.4987E+08	1.3683E+08	1.1791E+08	1.379E+08	1.071E+08	1.5603E+08	1.9183E+08	1.2623E+08	1.4473E+08	1.5363E+08	1.7535E+08	1.1763E+08	1.2964E+08	1.1711E+08	1.1026E+08	1.3366E+08	1.3718E+08	1.4241E+08	1.0931E+08	1.2744E+08				12	12	12	66.7	66.7	66.7	19.81	0	91.141	6003100000	99	O43324;C9J1V9	O43324;C9J1V9	Eukaryotic translation elongation factor 1 epsilon-1	EEF1E1;EEF1E1-BLOC1S5	sp|O43324|MCA3_HUMAN Eukaryotic translation elongation factor 1 epsilon-1 OS=Homo sapiens GN=EEF1E1 PE=1 SV=1;tr|C9J1V9|C9J1V9_HUMAN EEF1E1-BLOC1S5 readthrough (NMD candidate) OS=Homo sapiens GN=EEF1E1-BLOC1S5 PE=4 SV=2
3724700	0	3687100	0	0	7598500	9031100	1.035E+07	9048100	1.3945E+07	1.2536E+07	1.5688E+07	1.7929E+07	1.2118E+07	1.5873E+07	1.8127E+07	2.7675E+07	1.8603E+07	1.5438E+07	2.5387E+07	2.5183E+07	2.3856E+07	2.5938E+07	1.9328E+07				3	3	3	25.4	25.4	25.4	14.281	0	6.5183	626740000	21	O43325	O43325	LYR motif-containing protein 1	LYRM1	sp|O43325|LYRM1_HUMAN LYR motif-containing protein 1 OS=Homo sapiens GN=LYRM1 PE=2 SV=1
1.2432E+08	1.4702E+08	1.4754E+08	1.517E+08	1.2981E+08	1.0369E+08	1.0454E+08	1.0824E+08	1.2551E+08	7.692E+07	1.0822E+08	1.3538E+08	1.201E+08	1.3339E+08	1.4178E+08	1.0286E+08	1.3173E+08	1.2529E+08	1.195E+08	9.7807E+07	1.6041E+08	1.6059E+08	1.6942E+08	1.7924E+08				30	30	29	65.9	65.9	65.9	61.194	0	323.31	5470100000	118	O43353	O43353	Receptor-interacting serine/threonine-protein kinase 2	RIPK2	sp|O43353|RIPK2_HUMAN Receptor-interacting serine/threonine-protein kinase 2 OS=Homo sapiens GN=RIPK2 PE=1 SV=2
2534500	0	0	4701200	0	7259700	6275900	8276900	1.2218E+07	8298700	5700600	7126200	6490300	6587000	5903700	8814500	1.0325E+07	7286200	7291800	9515100	6214000	7499400	8199200	6919500				3	3	3	7.7	7.7	7.7	46.368	0	46.604	266200000	14	O43365;P14651;P31249	O43365	Homeobox protein Hox-A3	HOXA3	sp|O43365|HXA3_HUMAN Homeobox protein Hox-A3 OS=Homo sapiens GN=HOXA3 PE=1 SV=1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				5	5	5	5.6	5.6	5.6	165.95	0	63.591	0	0	O43379	O43379	WD repeat-containing protein 62	WDR62	sp|O43379|WDR62_HUMAN WD repeat-containing protein 62 OS=Homo sapiens GN=WDR62 PE=1 SV=4
3.9534E+09	3.2494E+09	3.9979E+09	3.6147E+09	3.5183E+09	3.4031E+09	3.0123E+09	3.049E+09	2.4244E+09	2.8409E+09	3.2069E+09	2.8901E+09	2.987E+09	3.27E+09	3.327E+09	3.24E+09	3.1956E+09	3.0186E+09	2.9471E+09	2.7795E+09	3.0457E+09	3.0726E+09	2.5092E+09	2.6956E+09				54	41	41	62.7	54.8	54.8	70.942	0	323.31	134890000000	1039	O43390	O43390	Heterogeneous nuclear ribonucleoprotein R	HNRNPR	sp|O43390|HNRPR_HUMAN Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens GN=HNRNPR PE=1 SV=1
2.0457E+08	2.0369E+08	2.1327E+08	2.2126E+08	2.0529E+08	1.7054E+08	1.6331E+08	1.7497E+08	1.6015E+08	1.4281E+08	1.8721E+08	1.6857E+08	1.9844E+08	1.8642E+08	1.6968E+08	1.6855E+08	1.804E+08	1.6506E+08	1.6956E+08	2.0078E+08	1.5951E+08	1.6428E+08	1.7008E+08	1.23E+08				32	32	32	48	48	48	77.528	0	323.31	7469400000	184	O43395	O43395	U4/U6 small nuclear ribonucleoprotein Prp3	PRPF3	sp|O43395|PRPF3_HUMAN U4/U6 small nuclear ribonucleoprotein Prp3 OS=Homo sapiens GN=PRPF3 PE=1 SV=2
